Address,latitude,longitude,units,commercial_sf,notes,weblink,stage
"""377 Big Bay Point Rd""",44.3545,-79.658,29,,"""17 townhomes & 6 semi-detached""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/377-big-bay-point-road,Conditionally Approved
"""196&202 Dunlop St W""",44.3856,-79.6995,33,1291.67,"""4-storey tower""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/196-202-dunlop-street-west,Conditionally Approved
"""20 Rose St""",44.4016,-79.6954,215,,"""2 towers  9 & 11-storeys with 50 000 sf community and social services space""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/20-rose-street,Conditionally Approved
"""800 Yonge St""",44.7417,-79.8956,"1,157",,"""long-term care facility with 192 beds  2 assisted living facilities with 485 suites and 120 dwelling units  2 residential apartments w/360 units""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/800-yonge-street-village-innis-landing,Conditionally Approved
"""15 Harvie Rd""",44.3435,-79.7057,155,,"""semi-detached and townhome w/2 future apartment blocks""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/15-harvie-road,Conditionally Approved
"""181 Burton Ave""",44.3719,-79.6794,24,,"""4-storey tower""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/181-burton-avenue,Conditionally Approved
"""229 McKay Rd W & 980 Veterans Dr""",44.3079,-79.6931,"1,502",,"""1104 sfh  398 townhomes""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/229-mckay-road-west-980-veterans-drive,Conditionally Approved
"""76 Bryne Dr""",44.3537,-79.6943,48,,"""5-storey tower w/7 ground-floor commercial units""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/76-bryne-drive,Conditionally Approved
"""667-675 Yonge St""",44.3557,-79.6427,,,"""11-storey tower w/ground-floor commercial""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/667-675-yonge-street,Conditionally Approved
"""407-419 Mapleview Dr W""",44.3275,-79.7189,46,,"""46 townhomes""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/407-419-mapleview-drive-west,Conditionally Approved
"""290-302 Georgian Dr""",44.4171,-79.6577,376,3767.37,"""19-storey""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/290-294-298-and-302-georgian-drive,Conditionally Approved
"""112-136 Bayfield St""",44.3923,-79.6933,300,,"""12-storey tower & 8 townhomes""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/136-112-bayfield-street-14-sophia-street-west-and-113-115-maple-avenue,Conditionally Approved
"""272 Innisfil St""",44.3726,-79.6943,333,,"""17-storey""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/272-innisfil-street,Conditionally Approved
"""70 Pioneer Trail""",44.3711,-79.6244,18,,"""18 sfh""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/70-pioneer-trail,Conditionally Approved
"""55-57 McDonald St, 61-67 Owen St, 70-78 Worsley St""",44.3921,-79.6877,278,10225.7,"""2 towers  8 and 20-storey w/6-storey podium""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/55-57-mcdonald-street-61-67-owen-street-70-78-worsley-street,Conditionally Approved
"""101 Kozlov St""",44.408,-79.7104,88,,"""6-storey""",https://www.barrie.ca/planning-building-infrastructure/current-projects/development-projects/101-kozlov-street,Conditionally Approved
